,ID,Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ef_mean,Region,World Rank,Region Rank,2021 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
30,30,Indonesia,44.78,53.44,52.91,52.94,51.58,53.31,52.74,52.15,50.06,45.3,50.921,Asia-Pacific,56.0,10.0,66.9,59.4,48.9,39.1,83.7,91.8,90.7,71.3,49.2,79.0,79.2,50.0,60.0,5.4,30.0,25.0,10.230449477737409,16.525000000000002,270.625568,3735.64,5.025,5.0348,12301.75289990179,4.7,2.82,23429.0299999,30.4
31,31,Peru,44.71,49.96,52.46,49.83,49.32,50.55,51.46,50.5,50.22,48.2,49.721,Americas,50.0,7.0,67.7,53.3,28.2,36.3,79.4,86.4,91.5,66.2,63.2,86.1,86.4,75.0,60.0,1.8,30.0,29.5,16.9,21.318333333333335,32.510453,476.014,2.162,3.186,13380.364424099644,3.3,2.136,8891.912,26.7
32,32,Chile,44.63,48.2,51.88,50.1,52.01,48.41,48.75,51.5,52.89,52.3,50.067,Americas,19.0,2.0,75.2,70.2,68.4,74.5,72.3,80.4,90.4,75.1,62.5,85.5,83.0,70.0,70.0,6.0,40.0,27.0,21.07,25.548333333333332,18.952038,495.176,1.124,2.0542000000000002,25154.992822918506,7.1,2.253,11437.401,27.9
33,33,Ecuador,44.54,46.9,51.67,49.13,48.52,47.19,51.05,49.42,46.57,41.1,47.60900000000001,Americas,149.0,27.0,52.4,39.5,24.7,38.5,77.1,58.5,75.9,50.4,47.9,81.7,59.8,35.0,40.0,10.1,35.0,25.0,20.9,37.202999999999996,17.373662,203.611,0.054,0.5167999999999999,11846.780557909313,4.0,0.266,966.1532695,49.6
34,34,Venezuela,44.43,46.44,46.14,46.5,46.61,47.5,46.12,45.71,47.81,47.1,46.436,Americas,177.0,32.0,24.7,7.5,15.4,15.1,71.1,61.5,0.0,33.4,27.5,0.0,54.8,0.0,10.0,12.6,34.0,34.0,24.0,35.827333333333335,28.515829,202.009,-35.0,-18.7106,5990.0,24.0,19906.02,934.0,232.8
35,35,Vietnam,44.32,52.27,53.81,54.06,53.12,52.14,51.57,53.43,51.57,47.3,51.358999999999995,Asia-Pacific,90.0,17.0,61.7,51.3,35.9,38.0,80.3,86.0,82.8,65.2,62.6,69.0,79.0,40.0,50.0,5.5,35.0,20.0,18.45,21.625666666666664,96.462106,1001.48,7.017,6.942,8374.444328245341,2.0,2.797,16120.0,42.9
36,36,Panama,43.62,43.61,48.7,48.08,49.98,44.68,43.7,50.68,49.6,48.3,47.095,Americas,62.0,10.0,66.2,54.5,28.1,39.4,85.2,85.2,82.8,72.9,43.7,80.5,77.2,75.0,70.0,6.4,25.0,25.0,15.1,22.197666666666663,4.246439,111.998,3.006,4.5966000000000005,32762.49474711453,3.9,-0.355,4835.1938869,46.8
37,37,Colombia,42.77,47.07,46.54,48.41,48.9,45.07,48.54,49.97,48.75,44.8,47.082,Americas,49.0,6.0,68.1,59.8,36.4,49.7,69.7,69.3,78.9,71.0,77.7,78.1,77.0,80.0,70.0,6.5,39.0,32.0,22.0,31.967000000000002,50.339443,785.836,3.322,2.4478,15643.731446093127,9.7,3.521,14493.1060676,52.9
38,38,Thailand,39.41,44.44,45.35,47.21,48.54,44.36,47.79,49.78,47.61,41.9,45.638999999999996,Asia-Pacific,42.0,9.0,69.7,60.0,48.1,45.1,81.5,86.0,96.4,85.3,64.3,74.4,80.0,55.0,60.0,5.0,35.0,20.0,14.927746956191571,21.575000000000003,69.625582,1377.54,2.372,3.4304,19228.29468184439,0.8,0.706,4145.6720694,41.1
39,39,Turkey,37.66,49.52,47.62,47.89,47.17,51.19,47.8,47.79,46.81,46.5,46.995000000000005,Europe,76.0,37.0,64.0,61.5,58.6,45.4,73.2,64.5,75.8,68.5,48.8,65.4,76.0,70.0,60.0,4.5,40.0,22.0,24.35,34.38766666666667,83.429615,2361.78,0.937,4.101,27875.193251484725,13.5,15.177,8434.0,33.1
